date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
1839-01-01,Sagittarius,18.62092,Cancer,4.10099,Sagittarius,24.32454,Sagittarius,21.88273,Virgo,3.65352,Virgo,25.49987,Scorpio,14.12242,Aquarius,17.73077,Capricorn,17.41194,Pisces,24.29619,Pisces,7.34643,Virgo,7.34643
1839-01-02,Sagittarius,19.63987,Cancer,17.16767,Sagittarius,23.07987,Sagittarius,23.14036,Virgo,3.94765,Virgo,25.59440,Scorpio,14.22674,Aquarius,17.76644,Capricorn,17.44619,Pisces,24.29685,Pisces,7.29344,Virgo,7.29344
1839-01-03,Sagittarius,20.65883,Cancer,29.89177,Sagittarius,21.76140,Sagittarius,24.39793,Virgo,4.23462,Virgo,25.68633,Scorpio,14.33031,Aquarius,17.80277,Capricorn,17.48069,Pisces,24.29789,Pisces,7.24044,Virgo,7.24044
1839-01-04,Sagittarius,21.67783,Leo,12.29684,Sagittarius,20.41246,Sagittarius,25.65543,Virgo,4.51424,Virgo,25.77561,Scorpio,14.43312,Aquarius,17.83978,Capricorn,17.51543,Pisces,24.29931,Pisces,7.18745,Virgo,7.18745
1839-01-05,Sagittarius,22.69685,Leo,24.43265,Sagittarius,19.07702,Sagittarius,26.91289,Virgo,4.78634,Virgo,25.86223,Scorpio,14.53515,Aquarius,17.87743,Capricorn,17.55041,Pisces,24.30111,Pisces,7.13446,Virgo,7.13446
1839-01-06,Sagittarius,23.71590,Virgo,6.36917,Sagittarius,17.79649,Sagittarius,28.17028,Virgo,5.05076,Virgo,25.94615,Scorpio,14.63637,Aquarius,17.91573,Capricorn,17.58561,Pisces,24.30329,Pisces,7.08147,Virgo,7.08147
1839-01-07,Sagittarius,24.73496,Virgo,18.19010,Sagittarius,16.60708,Sagittarius,29.42761,Virgo,5.30730,Virgo,26.02735,Scorpio,14.73677,Aquarius,17.95468,Capricorn,17.62102,Pisces,24.30586,Pisces,7.02848,Virgo,7.02848
1839-01-08,Sagittarius,25.75404,Virgo,29.98675,Sagittarius,15.53799,Capricorn,0.68488,Virgo,5.55578,Virgo,26.10579,Scorpio,14.83633,Aquarius,17.99425,Capricorn,17.65665,Pisces,24.30880,Pisces,6.97548,Virgo,6.97548
1839-01-09,Sagittarius,26.77311,Libra,11.85216,Sagittarius,14.61065,Capricorn,1.94209,Virgo,5.79603,Virgo,26.18145,Scorpio,14.93503,Aquarius,18.03444,Capricorn,17.69247,Pisces,24.31213,Pisces,6.92249,Virgo,6.92249
1839-01-10,Sagittarius,27.79217,Libra,23.87544,Sagittarius,13.83877,Capricorn,3.19922,Virgo,6.02784,Virgo,26.25430,Scorpio,15.03284,Aquarius,18.07524,Capricorn,17.72849,Pisces,24.31583,Pisces,6.86950,Virgo,6.86950
