date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
2013-01-01,Sagittarius,16.96318,Leo,0.12576,Sagittarius,7.01497,Scorpio,26.05828,Capricorn,10.84987,Taurus,13.70494,Libra,15.52249,Pisces,10.72235,Aquarius,7.03557,Sagittarius,15.28890,Libra,29.54058,Aries,29.54058
2013-01-02,Sagittarius,17.98216,Leo,12.81478,Sagittarius,8.56228,Scorpio,27.31018,Capricorn,11.63570,Taurus,13.61254,Libra,15.59892,Pisces,10.73876,Aquarius,7.06260,Sagittarius,15.32430,Libra,29.48758,Aries,29.48758
2013-01-03,Sagittarius,19.00120,Leo,25.72956,Sagittarius,10.11524,Scorpio,28.56227,Capricorn,12.42192,Taurus,13.52286,Libra,15.67404,Pisces,10.75601,Aquarius,7.09004,Sagittarius,15.35969,Libra,29.43459,Aries,29.43459
2013-01-04,Sagittarius,20.02032,Virgo,8.90314,Sagittarius,11.67400,Scorpio,29.81453,Capricorn,13.20850,Taurus,13.43593,Libra,15.74786,Pisces,10.77408,Aquarius,7.11788,Sagittarius,15.39505,Libra,29.38160,Aries,29.38160
2013-01-05,Sagittarius,21.03952,Virgo,22.37040,Sagittarius,13.23872,Sagittarius,1.06695,Capricorn,13.99545,Taurus,13.35183,Libra,15.82035,Pisces,10.79298,Aquarius,7.14612,Sagittarius,15.43037,Libra,29.32861,Aries,29.32861
2013-01-06,Sagittarius,22.05877,Libra,6.16171,Sagittarius,14.80960,Sagittarius,2.31953,Capricorn,14.78275,Taurus,13.27061,Libra,15.89149,Pisces,10.81271,Aquarius,7.17476,Sagittarius,15.46565,Libra,29.27562,Aries,29.27562
2013-01-07,Sagittarius,23.07809,Libra,20.29353,Sagittarius,16.38683,Sagittarius,3.57225,Capricorn,15.57039,Taurus,13.19232,Libra,15.96126,Pisces,10.83325,Aquarius,7.20378,Sagittarius,15.50088,Libra,29.22262,Aries,29.22262
2013-01-08,Sagittarius,24.09743,Scorpio,4.75681,Sagittarius,17.97064,Sagittarius,4.82511,Capricorn,16.35836,Taurus,13.11700,Libra,16.02965,Pisces,10.85461,Aquarius,7.23318,Sagittarius,15.53604,Libra,29.16963,Aries,29.16963
2013-01-09,Sagittarius,25.11680,Scorpio,19.50595,Sagittarius,19.56126,Sagittarius,6.07807,Capricorn,17.14665,Taurus,13.04472,Libra,16.09664,Pisces,10.87677,Aquarius,7.26295,Sagittarius,15.57113,Libra,29.11664,Aries,29.11664
2013-01-10,Sagittarius,26.13616,Sagittarius,4.45238,Sagittarius,21.15891,Sagittarius,7.33112,Capricorn,17.93523,Taurus,12.97552,Libra,16.16220,Pisces,10.89975,Aquarius,7.29309,Sagittarius,15.60614,Libra,29.06365,Aries,29.06365
