date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
1835-01-01,Sagittarius,18.64619,Capricorn,13.76631,Sagittarius,4.33984,Sagittarius,2.17840,Gemini,20.59033,Taurus,11.18578,Libra,0.76282,Aquarius,2.54371,Capricorn,8.96432,Pisces,20.24021,Taurus,24.76799,Scorpio,24.76799
1835-01-02,Sagittarius,19.66587,Capricorn,27.03109,Sagittarius,5.84222,Sagittarius,1.80452,Gemini,20.19038,Taurus,11.10404,Libra,0.81534,Aquarius,2.58919,Capricorn,9.00045,Pisces,20.24249,Taurus,24.71499,Scorpio,24.71499
1835-01-03,Sagittarius,20.68549,Aquarius,9.93860,Sagittarius,7.35191,Sagittarius,1.46804,Gemini,19.79153,Taurus,11.02526,Libra,0.86626,Aquarius,2.63518,Capricorn,9.03674,Pisces,20.24516,Taurus,24.66200,Scorpio,24.66200
1835-01-04,Sagittarius,21.70503,Aquarius,22.51018,Sagittarius,8.86875,Sagittarius,1.17029,Gemini,19.39461,Taurus,10.94948,Libra,0.91558,Aquarius,2.68169,Capricorn,9.07320,Pisces,20.24822,Taurus,24.60901,Scorpio,24.60901
1835-01-05,Sagittarius,22.72447,Pisces,4.79126,Sagittarius,10.39267,Sagittarius,0.91234,Gemini,19.00043,Taurus,10.87675,Libra,0.96328,Aquarius,2.72870,Capricorn,9.10982,Pisces,20.25166,Taurus,24.55602,Scorpio,24.55602
1835-01-06,Sagittarius,23.74379,Pisces,16.84565,Sagittarius,11.92363,Sagittarius,0.69495,Gemini,18.60980,Taurus,10.80712,Libra,1.00936,Aquarius,2.77620,Capricorn,9.14658,Pisces,20.25549,Taurus,24.50302,Scorpio,24.50302
1835-01-07,Sagittarius,24.76298,Pisces,28.74948,Sagittarius,13.46165,Sagittarius,0.51863,Gemini,18.22350,Taurus,10.74061,Libra,1.05380,Aquarius,2.82419,Capricorn,9.18349,Pisces,20.25970,Taurus,24.45003,Scorpio,24.45003
1835-01-08,Sagittarius,25.78204,Aries,10.58547,Sagittarius,15.00681,Sagittarius,0.38366,Gemini,17.84228,Taurus,10.67727,Libra,1.09660,Aquarius,2.87264,Capricorn,9.22052,Pisces,20.26429,Taurus,24.39704,Scorpio,24.39704
1835-01-09,Sagittarius,26.80095,Aries,22.43775,Sagittarius,16.55919,Sagittarius,0.29008,Gemini,17.46686,Taurus,10.61712,Libra,1.13774,Aquarius,2.92154,Capricorn,9.25767,Pisces,20.26926,Taurus,24.34405,Scorpio,24.34405
1835-01-10,Sagittarius,27.81970,Taurus,4.38720,Sagittarius,18.11893,Sagittarius,0.23777,Gemini,17.09793,Taurus,10.56020,Libra,1.17722,Aquarius,2.97090,Capricorn,9.29493,Pisces,20.27461,Taurus,24.29106,Scorpio,24.29106
1835-01-11,Sagittarius,28.83830,Taurus,16.50693,Sagittarius,19.68620,Sagittarius,0.22639,Gemini,16.73616,Taurus,10.50652,Libra,1.21503,Aquarius,3.02068,Capricorn,9.33230,Pisces,20.28034,Taurus,24.23806,Scorpio,24.23806
1835-01-12,Sagittarius,29.85674,Taurus,28.85784,Sagittarius,21.26117,Sagittarius,0.25550,Gemini,16.38215,Taurus,10.45612,Libra,1.25115,Aquarius,3.07089,Capricorn,9.36976,Pisces,20.28644,Taurus,24.18507,Scorpio,24.18507
1835-01-13,Capricorn,0.87502,Gemini,11.48423,Sagittarius,22.84405,Sagittarius,0.32449,Gemini,16.03652,Taurus,10.40901,Libra,1.28559,Aquarius,3.12151,Capricorn,9.40731,Pisces,20.29292,Taurus,24.13208,Scorpio,24.13208
1835-01-14,Capricorn,1.89314,Gemini,24.40997,Sagittarius,24.43508,Sagittarius,0.43266,Gemini,15.69980,Taurus,10.36522,Libra,1.31833,Aquarius,3.17253,Capricorn,9.44493,Pisces,20.29977,Taurus,24.07909,Scorpio,24.07909
