date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
1851-01-01,Sagittarius,18.54201,Sagittarius,5.32033,Capricorn,6.61900,Scorpio,25.51009,Sagittarius,9.47511,Virgo,29.19683,Pisces,22.58196,Aries,4.59238,Aquarius,13.07851,Aries,6.11978,Cancer,15.08179,Capricorn,15.08179
1851-01-02,Sagittarius,19.56169,Sagittarius,17.59223,Capricorn,7.97492,Scorpio,25.33450,Sagittarius,10.22776,Virgo,29.30218,Pisces,22.61005,Aries,4.58961,Aquarius,13.10360,Aries,6.11598,Cancer,15.02880,Capricorn,15.02880
1851-01-03,Sagittarius,20.58137,Sagittarius,29.69553,Capricorn,9.27964,Scorpio,25.20034,Sagittarius,10.98112,Virgo,29.40501,Pisces,22.63993,Aries,4.58772,Aquarius,13.12914,Aries,6.11255,Cancer,14.97580,Capricorn,14.97580
1851-01-04,Sagittarius,21.60101,Capricorn,11.65593,Capricorn,10.52400,Scorpio,25.10760,Sagittarius,11.73518,Virgo,29.50528,Pisces,22.67161,Aries,4.58670,Aquarius,13.15512,Aries,6.10948,Cancer,14.92281,Capricorn,14.92281
1851-01-05,Sagittarius,22.62059,Capricorn,23.50802,Capricorn,11.69768,Scorpio,25.05604,Sagittarius,12.48992,Virgo,29.60299,Pisces,22.70508,Aries,4.58655,Aquarius,13.18152,Aries,6.10679,Cancer,14.86982,Capricorn,14.86982
1851-01-06,Sagittarius,23.64010,Aquarius,5.29654,Capricorn,12.78914,Scorpio,25.04529,Sagittarius,13.24533,Virgo,29.69808,Pisces,22.74032,Aries,4.58728,Aquarius,13.20834,Aries,6.10446,Cancer,14.81683,Capricorn,14.81683
1851-01-07,Sagittarius,24.65950,Aquarius,17.07671,Capricorn,13.78574,Scorpio,25.07483,Sagittarius,14.00141,Virgo,29.79055,Pisces,22.77732,Aries,4.58889,Aquarius,13.23558,Aries,6.10250,Cancer,14.76383,Capricorn,14.76383
1851-01-08,Sagittarius,25.67878,Aquarius,28.91354,Capricorn,14.67376,Scorpio,25.14401,Sagittarius,14.75814,Virgo,29.88036,Pisces,22.81607,Aries,4.59138,Aquarius,13.26323,Aries,6.10092,Cancer,14.71084,Capricorn,14.71084
1851-01-09,Sagittarius,26.69793,Pisces,10.88019,Capricorn,15.43870,Scorpio,25.25208,Sagittarius,15.51551,Virgo,29.96748,Pisces,22.85656,Aries,4.59474,Aquarius,13.29127,Aries,6.09970,Cancer,14.65785,Capricorn,14.65785
1851-01-10,Sagittarius,27.71692,Pisces,23.05501,Capricorn,16.06559,Scorpio,25.39822,Sagittarius,16.27352,Libra,0.05191,Pisces,22.89878,Aries,4.59898,Aquarius,13.31971,Aries,6.09886,Cancer,14.60486,Capricorn,14.60486
1851-01-11,Sagittarius,28.73573,Aries,5.51708,Capricorn,16.53955,Scorpio,25.58153,Sagittarius,17.03216,Libra,0.13360,Pisces,22.94271,Aries,4.60409,Aquarius,13.34854,Aries,6.09840,Cancer,14.55187,Capricorn,14.55187
1851-01-12,Sagittarius,29.75437,Aries,18.33981,Capricorn,16.84646,Scorpio,25.80107,Sagittarius,17.79142,Libra,0.21255,Pisces,22.98834,Aries,4.61008,Aquarius,13.37774,Aries,6.09830,Cancer,14.49887,Capricorn,14.49887
1851-01-13,Capricorn,0.77281,Taurus,1.58243,Capricorn,16.97388,Scorpio,26.05586,Sagittarius,18.55130,Libra,0.28872,Pisces,23.03566,Aries,4.61694,Aquarius,13.40731,Aries,6.09858,Cancer,14.44588,Capricorn,14.44588
1851-01-14,Capricorn,1.79105,Taurus,15.27967,Capricorn,16.91217,Scorpio,26.34490,Sagittarius,19.31178,Libra,0.36210,Pisces,23.08464,Aries,4.62467,Aquarius,13.43724,Aries,6.09923,Cancer,14.39289,Capricorn,14.39289
1851-01-15,Capricorn,2.80910,Taurus,29.43114,Capricorn,16.65561,Scorpio,26.66717,Sagittarius,20.07288,Libra,0.43267,Pisces,23.13528,Aries,4.63327,Aquarius,13.46753,Aries,6.10025,Cancer,14.33990,Capricorn,14.33990
1851-01-16,Capricorn,3.82694,Gemini,13.99313,Capricorn,16.20370,Scorpio,27.02165,Sagittarius,20.83459,Libra,0.50040,Pisces,23.18756,Aries,4.64273,Aquarius,13.49816,Aries,6.10165,Cancer,14.28691,Capricorn,14.28691
1851-01-17,Capricorn,4.84460,Gemini,28.87643,Capricorn,15.56224,Scorpio,27.40731,Sagittarius,21.59691,Libra,0.56528,Pisces,23.24146,Aries,4.65305,Aquarius,13.52914,Aries,6.10341,Cancer,14.23391,Capricorn,14.23391
1851-01-18,Capricorn,5.86209,Cancer,13.95327,Capricorn,14.74415,Scorpio,27.82313,Sagittarius,22.35984,Libra,0.62728,Pisces,23.29698,Aries,4.66423,Aquarius,13.56044,Aries,6.10555,Cancer,14.18092,Capricorn,14.18092
1851-01-19,Capricorn,6.87941,Cancer,29.07355,Capricorn,13.76971,Scorpio,28.26809,Sagittarius,23.12339,Libra,0.68639,Pisces,23.35409,Aries,4.67627,Aquarius,13.59208,Aries,6.10806,Cancer,14.12793,Capricorn,14.12793
1851-01-20,Capricorn,7.89658,Leo,14.08674,Capricorn,12.66621,Scorpio,28.74115,Sagittarius,23.88756,Libra,0.74257,Pisces,23.41279,Aries,4.68916,Aquarius,13.62403,Aries,6.11094,Cancer,14.07494,Capricorn,14.07494
1851-01-21,Capricorn,8.91360,Leo,28.86321,Capricorn,11.46679,Scorpio,29.24128,Sagittarius,24.65235,Libra,0.79581,Pisces,23.47306,Aries,4.70291,Aquarius,13.65629,Aries,6.11418,Cancer,14.02194,Capricorn,14.02194
1851-01-22,Capricorn,9.93050,Virgo,13.30913,Capricorn,10.20860,Scorpio,29.76748,Sagittarius,25.41775,Libra,0.84608,Pisces,23.53488,Aries,4.71750,Aquarius,13.68886,Aries,6.11780,Cancer,13.96895,Capricorn,13.96895
1851-01-23,Capricorn,10.94726,Virgo,27.37197,Capricorn,8.93046,Sagittarius,0.31872,Sagittarius,26.18375,Libra,0.89336,Pisces,23.59825,Aries,4.73294,Aquarius,13.72173,Aries,6.12179,Cancer,13.91596,Capricorn,13.91596
1851-01-24,Capricorn,11.96387,Libra,11.03763,Capricorn,7.67040,Sagittarius,0.89402,Sagittarius,26.95036,Libra,0.93762,Pisces,23.66315,Aries,4.74922,Aquarius,13.75489,Aries,6.12614,Cancer,13.86297,Capricorn,13.86297
1851-01-25,Capricorn,12.98034,Libra,24.32214,Capricorn,6.46340,Sagittarius,1.49239,Sagittarius,27.71756,Libra,0.97884,Pisces,23.72957,Aries,4.76635,Aquarius,13.78833,Aries,6.13087,Cancer,13.80998,Capricorn,13.80998
1851-01-26,Capricorn,13.99664,Scorpio,7.26160,Capricorn,5.33959,Sagittarius,2.11291,Sagittarius,28.48533,Libra,1.01701,Pisces,23.79750,Aries,4.78431,Aquarius,13.82205,Aries,6.13596,Cancer,13.75698,Capricorn,13.75698
1851-01-27,Capricorn,15.01276,Scorpio,19.90279,Capricorn,4.32316,Sagittarius,2.75466,Sagittarius,29.25367,Libra,1.05210,Pisces,23.86691,Aries,4.80311,Aquarius,13.85604,Aries,6.14141,Cancer,13.70399,Capricorn,13.70399
1851-01-28,Capricorn,16.02868,Sagittarius,2.29589,Capricorn,3.43198,Sagittarius,3.41675,Capricorn,0.02255,Libra,1.08409,Pisces,23.93780,Aries,4.82274,Aquarius,13.89028,Aries,6.14724,Cancer,13.65100,Capricorn,13.65100
1851-01-29,Capricorn,17.04438,Sagittarius,14.48961,Capricorn,2.67782,Sagittarius,4.09835,Capricorn,0.79197,Libra,1.11298,Pisces,24.01014,Aries,4.84319,Aquarius,13.92478,Aries,6.15342,Cancer,13.59801,Capricorn,13.59801
1851-01-30,Capricorn,18.05983,Sagittarius,26.52868,Capricorn,2.06695,Sagittarius,4.79864,Capricorn,1.56191,Libra,1.13873,Pisces,24.08393,Aries,4.86447,Aquarius,13.95952,Aries,6.15997,Cancer,13.54502,Capricorn,13.54502
1851-01-31,Capricorn,19.07503,Capricorn,8.45327,Capricorn,1.60108,Sagittarius,5.51685,Capricorn,2.33236,Libra,1.16136,Pisces,24.15914,Aries,4.88656,Aquarius,13.99449,Aries,6.16688,Cancer,13.49202,Capricorn,13.49202
1851-02-01,Capricorn,20.08993,Capricorn,20.29979,Capricorn,1.27829,Sagittarius,6.25224,Capricorn,3.10330,Libra,1.18083,Pisces,24.23575,Aries,4.90946,Aquarius,14.02968,Aries,6.17415,Cancer,13.43903,Capricorn,13.43903
1851-02-02,Capricorn,21.10453,Aquarius,2.10273,Capricorn,1.09400,Sagittarius,7.00409,Capricorn,3.87471,Libra,1.19715,Pisces,24.31375,Aries,4.93316,Aquarius,14.06509,Aries,6.18178,Cancer,13.38604,Capricorn,13.38604
1851-02-03,Capricorn,22.11879,Aquarius,13.89704,Capricorn,1.04181,Sagittarius,7.77174,Capricorn,4.64658,Libra,1.21030,Pisces,24.39312,Aries,4.95767,Aquarius,14.10071,Aries,6.18976,Cancer,13.33305,Capricorn,13.33305
1851-02-04,Capricorn,23.13270,Aquarius,25.72051,Capricorn,1.11416,Sagittarius,8.55454,Capricorn,5.41889,Libra,1.22029,Pisces,24.47383,Aries,4.98296,Aquarius,14.13653,Aries,6.19810,Cancer,13.28005,Capricorn,13.28005
1851-02-05,Capricorn,24.14624,Pisces,7.61590,Capricorn,1.30289,Sagittarius,9.35187,Capricorn,6.19164,Libra,1.22710,Pisces,24.55588,Aries,5.00904,Aquarius,14.17253,Aries,6.20678,Cancer,13.22706,Capricorn,13.22706
1851-02-06,Capricorn,25.15938,Pisces,19.63233,Capricorn,1.59968,Sagittarius,10.16317,Capricorn,6.96480,Libra,1.23074,Pisces,24.63923,Aries,5.03590,Aquarius,14.20872,Aries,6.21582,Cancer,13.17407,Capricorn,13.17407
1851-02-07,Capricorn,26.17211,Aries,1.82555,Capricorn,1.99629,Sagittarius,10.98787,Capricorn,7.73837,Libra,1.23120,Pisces,24.72387,Aries,5.06352,Aquarius,14.24507,Aries,6.22519,Cancer,13.12108,Capricorn,13.12108
1851-02-08,Capricorn,27.18441,Aries,14.25684,Capricorn,2.48482,Sagittarius,11.82545,Capricorn,8.51233,Libra,1.22850,Pisces,24.80979,Aries,5.09191,Aquarius,14.28159,Aries,6.23491,Cancer,13.06809,Capricorn,13.06809
1851-02-09,Capricorn,28.19627,Aries,26.98998,Capricorn,3.05780,Sagittarius,12.67542,Capricorn,9.28667,Libra,1.22262,Pisces,24.89695,Aries,5.12105,Aquarius,14.31826,Aries,6.24497,Cancer,13.01509,Capricorn,13.01509
1851-02-10,Capricorn,29.20767,Taurus,10.08601,Capricorn,3.70824,Sagittarius,13.53730,Capricorn,10.06138,Libra,1.21359,Pisces,24.98533,Aries,5.15093,Aquarius,14.35507,Aries,6.25536,Cancer,12.96210,Capricorn,12.96210
1851-02-11,Aquarius,0.21861,Taurus,23.59538,Capricorn,4.42976,Sagittarius,14.41066,Capricorn,10.83646,Libra,1.20140,Pisces,25.07493,Aries,5.18155,Aquarius,14.39202,Aries,6.26609,Cancer,12.90911,Capricorn,12.90911
1851-02-12,Aquarius,1.22907,Gemini,7.54770,Capricorn,5.21647,Sagittarius,15.29507,Capricorn,11.61190,Libra,1.18606,Pisces,25.16571,Aries,5.21290,Aquarius,14.42909,Aries,6.27715,Cancer,12.85612,Capricorn,12.85612
1851-02-13,Aquarius,2.23907,Gemini,21.94005,Capricorn,6.06305,Sagittarius,16.19013,Capricorn,12.38769,Libra,1.16758,Pisces,25.25766,Aries,5.24496,Aquarius,14.46628,Aries,6.28853,Cancer,12.80313,Capricorn,12.80313
1851-02-14,Aquarius,3.24860,Cancer,6.72661,Capricorn,6.96470,Sagittarius,17.09548,Capricorn,13.16383,Libra,1.14597,Pisces,25.35075,Aries,5.27774,Aquarius,14.50358,Aries,6.30023,Cancer,12.75013,Capricorn,12.75013
1851-02-15,Aquarius,4.25767,Cancer,21.81330,Capricorn,7.91709,Sagittarius,18.01075,Capricorn,13.94032,Libra,1.12124,Pisces,25.44497,Aries,5.31121,Aquarius,14.54098,Aries,6.31225,Cancer,12.69714,Capricorn,12.69714
1851-02-16,Aquarius,5.26630,Leo,7.06207,Capricorn,8.91635,Sagittarius,18.93561,Capricorn,14.71716,Libra,1.09341,Pisces,25.54030,Aries,5.34539,Aquarius,14.57847,Aries,6.32458,Cancer,12.64415,Capricorn,12.64415
1851-02-17,Aquarius,6.27451,Leo,22.30680,Capricorn,9.95898,Sagittarius,19.86972,Capricorn,15.49435,Libra,1.06248,Pisces,25.63672,Aries,5.38024,Aquarius,14.61605,Aries,6.33723,Cancer,12.59116,Capricorn,12.59116
1851-02-18,Aquarius,7.28231,Virgo,7.37839,Capricorn,11.04190,Sagittarius,20.81275,Capricorn,16.27189,Libra,1.02845,Pisces,25.73421,Aries,5.41578,Aquarius,14.65370,Aries,6.35019,Cancer,12.53816,Capricorn,12.53816
1851-02-19,Aquarius,8.28972,Virgo,22.13152,Capricorn,12.16233,Sagittarius,21.76438,Capricorn,17.04977,Libra,0.99136,Pisces,25.83276,Aries,5.45198,Aquarius,14.69143,Aries,6.36345,Cancer,12.48517,Capricorn,12.48517
1851-02-20,Aquarius,9.29674,Libra,6.46467,Capricorn,13.31780,Sagittarius,22.72430,Capricorn,17.82799,Libra,0.95119,Pisces,25.93235,Aries,5.48885,Aquarius,14.72921,Aries,6.37702,Cancer,12.43218,Capricorn,12.43218
1851-02-21,Aquarius,10.30338,Libra,20.32813,Capricorn,14.50613,Sagittarius,23.69217,Capricorn,18.60655,Libra,0.90798,Pisces,26.03297,Aries,5.52637,Aquarius,14.76705,Aries,6.39089,Cancer,12.37919,Capricorn,12.37919
1851-02-22,Aquarius,11.30965,Scorpio,3.72050,Capricorn,15.72535,Sagittarius,24.66770,Capricorn,19.38542,Libra,0.86173,Pisces,26.13458,Aries,5.56454,Aquarius,14.80494,Aries,6.40505,Cancer,12.32620,Capricorn,12.32620
