date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
1899-01-01,Sagittarius,18.22584,Leo,4.54492,Scorpio,29.17522,Scorpio,11.42540,Cancer,12.79330,Libra,13.57545,Scorpio,25.25535,Scorpio,13.49749,Gemini,0.45774,Taurus,21.78771,Sagittarius,16.02374,Gemini,16.02374
1899-01-02,Sagittarius,19.24493,Leo,16.53940,Scorpio,29.24227,Scorpio,11.80969,Cancer,12.48927,Libra,13.71895,Scorpio,25.36715,Scorpio,13.55063,Gemini,0.43106,Taurus,21.77075,Sagittarius,15.97075,Gemini,15.97075
1899-01-03,Sagittarius,20.26408,Leo,28.71189,Scorpio,29.45049,Scorpio,12.22445,Cancer,12.17443,Libra,13.86044,Scorpio,25.47844,Scorpio,13.60331,Gemini,0.40458,Taurus,21.75396,Sagittarius,15.91776,Gemini,15.91776
1899-01-04,Sagittarius,21.28329,Virgo,11.12792,Scorpio,29.78793,Scorpio,12.66859,Cancer,11.84926,Libra,13.99990,Scorpio,25.58922,Scorpio,13.65552,Gemini,0.37832,Taurus,21.73737,Sagittarius,15.86477,Gemini,15.86477
1899-01-05,Sagittarius,22.30254,Virgo,23.85451,Sagittarius,0.24272,Scorpio,13.14105,Cancer,11.51424,Libra,14.13730,Scorpio,25.69945,Scorpio,13.70725,Gemini,0.35227,Taurus,21.72096,Sagittarius,15.81178,Gemini,15.81178
1899-01-06,Sagittarius,23.32184,Libra,6.95429,Sagittarius,0.80346,Scorpio,13.64074,Cancer,11.16990,Libra,14.27260,Scorpio,25.80913,Scorpio,13.75848,Gemini,0.32646,Taurus,21.70475,Sagittarius,15.75878,Gemini,15.75878
1899-01-07,Sagittarius,24.34117,Libra,20.47707,Sagittarius,1.45947,Scorpio,14.16664,Cancer,10.81683,Libra,14.40577,Scorpio,25.91822,Scorpio,13.80920,Gemini,0.30090,Taurus,21.68875,Sagittarius,15.70579,Gemini,15.70579
1899-01-08,Sagittarius,25.36053,Scorpio,4.44931,Sagittarius,2.20091,Scorpio,14.71770,Cancer,10.45564,Libra,14.53678,Scorpio,26.02672,Scorpio,13.85941,Gemini,0.27559,Taurus,21.67296,Sagittarius,15.65280,Gemini,15.65280
1899-01-09,Sagittarius,26.37988,Scorpio,18.86260,Sagittarius,3.01882,Scorpio,15.29291,Cancer,10.08697,Libra,14.66559,Scorpio,26.13460,Scorpio,13.90908,Gemini,0.25055,Taurus,21.65739,Sagittarius,15.59981,Gemini,15.59981
1899-01-10,Sagittarius,27.39921,Sagittarius,3.66419,Sagittarius,3.90512,Scorpio,15.89128,Cancer,9.71153,Libra,14.79217,Scorpio,26.24183,Scorpio,13.95821,Gemini,0.22578,Taurus,21.64204,Sagittarius,15.54681,Gemini,15.54681
1899-01-11,Sagittarius,28.41849,Sagittarius,18.75360,Sagittarius,4.85259,Scorpio,16.51186,Cancer,9.33003,Libra,14.91648,Scorpio,26.34840,Scorpio,14.00678,Gemini,0.20130,Taurus,21.62692,Sagittarius,15.49382,Gemini,15.49382
1899-01-12,Sagittarius,29.43768,Capricorn,3.98912,Sagittarius,5.85481,Scorpio,17.15373,Cancer,8.94326,Libra,15.03850,Scorpio,26.45429,Scorpio,14.05478,Gemini,0.17712,Taurus,21.61204,Sagittarius,15.44083,Gemini,15.44083
1899-01-13,Capricorn,0.45676,Capricorn,19.20536,Sagittarius,6.90610,Scorpio,17.81600,Cancer,8.55199,Libra,15.15819,Scorpio,26.55947,Scorpio,14.10220,Gemini,0.15325,Taurus,21.59740,Sagittarius,15.38784,Gemini,15.38784
1899-01-14,Capricorn,1.47569,Aquarius,4.23835,Sagittarius,8.00147,Scorpio,18.49784,Cancer,8.15705,Libra,15.27552,Scorpio,26.66392,Scorpio,14.14903,Gemini,0.12970,Taurus,21.58301,Sagittarius,15.33485,Gemini,15.33485
1899-01-15,Capricorn,2.49443,Aquarius,18.95065,Sagittarius,9.13651,Scorpio,19.19845,Cancer,7.75925,Libra,15.39047,Scorpio,26.76763,Scorpio,14.19526,Gemini,0.10648,Taurus,21.56887,Sagittarius,15.28185,Gemini,15.28185
