date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
1815-01-01,Sagittarius,18.77731,Virgo,1.75542,Sagittarius,1.79364,Sagittarius,20.17989,Scorpio,7.21917,Virgo,18.04081,Capricorn,9.20429,Scorpio,13.59873,Scorpio,27.01433,Aquarius,28.59767,Gemini,21.87585,Sagittarius,21.87585
1815-01-02,Sagittarius,19.79654,Virgo,15.44074,Sagittarius,3.24991,Sagittarius,21.43791,Scorpio,7.89719,Virgo,18.11286,Capricorn,9.31858,Scorpio,13.65164,Scorpio,27.04985,Aquarius,28.60895,Gemini,21.82286,Sagittarius,21.82286
1815-01-03,Sagittarius,20.81585,Virgo,28.72911,Sagittarius,4.71618,Sagittarius,22.69591,Scorpio,8.57563,Virgo,18.18206,Capricorn,9.43330,Scorpio,13.70409,Scorpio,27.08517,Aquarius,28.62059,Gemini,21.76987,Sagittarius,21.76987
1815-01-04,Sagittarius,21.83521,Libra,11.65834,Sagittarius,6.19190,Sagittarius,23.95387,Scorpio,9.25447,Virgo,18.24839,Capricorn,9.54844,Scorpio,13.75605,Scorpio,27.12028,Aquarius,28.63261,Gemini,21.71688,Sagittarius,21.71688
1815-01-05,Sagittarius,22.85461,Libra,24.27839,Sagittarius,7.67665,Sagittarius,25.21180,Scorpio,9.93371,Virgo,18.31182,Capricorn,9.66396,Scorpio,13.80753,Scorpio,27.15518,Aquarius,28.64500,Gemini,21.66388,Sagittarius,21.66388
1815-01-06,Sagittarius,23.87404,Scorpio,6.64344,Sagittarius,9.17008,Sagittarius,26.46968,Scorpio,10.61334,Virgo,18.37233,Capricorn,9.77986,Scorpio,13.85850,Scorpio,27.18986,Aquarius,28.65775,Gemini,21.61089,Sagittarius,21.61089
1815-01-07,Sagittarius,24.89346,Scorpio,18.80649,Sagittarius,10.67194,Sagittarius,27.72750,Scorpio,11.29336,Virgo,18.42989,Capricorn,9.89611,Scorpio,13.90896,Scorpio,27.22430,Aquarius,28.67086,Gemini,21.55790,Sagittarius,21.55790
1815-01-08,Sagittarius,25.91286,Sagittarius,0.81634,Sagittarius,12.18204,Sagittarius,28.98526,Scorpio,11.97374,Virgo,18.48448,Capricorn,10.01270,Scorpio,13.95890,Scorpio,27.25850,Aquarius,28.68433,Gemini,21.50491,Sagittarius,21.50491
1815-01-09,Sagittarius,26.93221,Sagittarius,12.71650,Sagittarius,13.70026,Capricorn,0.24294,Scorpio,12.65449,Virgo,18.53607,Capricorn,10.12959,Scorpio,14.00829,Scorpio,27.29245,Aquarius,28.69815,Gemini,21.45192,Sagittarius,21.45192
1815-01-10,Sagittarius,27.95150,Sagittarius,24.54576,Sagittarius,15.22655,Capricorn,1.50052,Scorpio,13.33561,Virgo,18.58465,Capricorn,10.24678,Scorpio,14.05713,Scorpio,27.32614,Aquarius,28.71233,Gemini,21.39892,Sagittarius,21.39892
1815-01-11,Sagittarius,28.97069,Capricorn,6.33978,Sagittarius,16.76088,Capricorn,2.75800,Scorpio,14.01707,Virgo,18.63020,Capricorn,10.36423,Scorpio,14.10541,Scorpio,27.35956,Aquarius,28.72685,Gemini,21.34593,Sagittarius,21.34593
1815-01-12,Sagittarius,29.98976,Capricorn,18.13333,Sagittarius,18.30328,Capricorn,4.01537,Scorpio,14.69888,Virgo,18.67269,Capricorn,10.48194,Scorpio,14.15312,Scorpio,27.39270,Aquarius,28.74172,Gemini,21.29294,Sagittarius,21.29294
