date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
2085-01-01,Sagittarius,16.49254,Aquarius,24.01611,Sagittarius,2.78644,Sagittarius,1.02715,Aries,19.04990,Gemini,15.38974,Pisces,3.27358,Capricorn,24.75198,Cancer,18.68820,Pisces,22.34241,Sagittarius,15.95784,Gemini,15.95784
2085-01-02,Sagittarius,17.51179,Pisces,7.94512,Sagittarius,4.29476,Sagittarius,2.28271,Aries,19.27247,Gemini,15.25425,Pisces,3.33079,Capricorn,24.80061,Cancer,18.66521,Pisces,22.34306,Sagittarius,15.90485,Gemini,15.90485
2085-01-03,Sagittarius,18.53097,Pisces,21.47706,Sagittarius,5.80971,Sagittarius,3.53827,Aries,19.50441,Gemini,15.11901,Pisces,3.38956,Capricorn,24.84970,Cancer,18.64188,Pisces,22.34409,Sagittarius,15.85186,Gemini,15.85186
2085-01-04,Sagittarius,19.55008,Aries,4.63611,Sagittarius,7.33118,Sagittarius,4.79384,Aries,19.74548,Gemini,14.98413,Pisces,3.44988,Capricorn,24.89923,Cancer,18.61825,Pisces,22.34550,Sagittarius,15.79887,Gemini,15.79887
2085-01-05,Sagittarius,20.56911,Aries,17.46380,Sagittarius,8.85912,Sagittarius,6.04941,Aries,19.99546,Gemini,14.84970,Pisces,3.51172,Capricorn,24.94920,Cancer,18.59431,Pisces,22.34730,Sagittarius,15.74587,Gemini,15.74587
2085-01-06,Sagittarius,21.58805,Taurus,0.00993,Sagittarius,10.39352,Sagittarius,7.30500,Aries,20.25410,Gemini,14.71582,Pisces,3.57507,Capricorn,24.99960,Cancer,18.57008,Pisces,22.34949,Sagittarius,15.69288,Gemini,15.69288
2085-01-07,Sagittarius,22.60691,Taurus,12.32590,Sagittarius,11.93443,Sagittarius,8.56059,Aries,20.52119,Gemini,14.58261,Pisces,3.63991,Capricorn,25.05042,Cancer,18.54556,Pisces,22.35205,Sagittarius,15.63989,Gemini,15.63989
2085-01-08,Sagittarius,23.62569,Taurus,24.46050,Sagittarius,13.48193,Sagittarius,9.81619,Aries,20.79651,Gemini,14.45014,Pisces,3.70623,Capricorn,25.10164,Cancer,18.52077,Pisces,22.35499,Sagittarius,15.58690,Gemini,15.58690
2085-01-09,Sagittarius,24.64438,Gemini,6.45787,Sagittarius,15.03614,Sagittarius,11.07180,Aries,21.07985,Gemini,14.31852,Pisces,3.77400,Capricorn,25.15325,Cancer,18.49571,Pisces,22.35832,Sagittarius,15.53391,Gemini,15.53391
2085-01-10,Sagittarius,25.66300,Gemini,18.35731,Sagittarius,16.59721,Sagittarius,12.32743,Aries,21.37099,Gemini,14.18785,Pisces,3.84323,Capricorn,25.20524,Cancer,18.47040,Pisces,22.36203,Sagittarius,15.48091,Gemini,15.48091
2085-01-11,Sagittarius,26.68154,Cancer,0.19441,Sagittarius,18.16531,Sagittarius,13.58307,Aries,21.66975,Gemini,14.05822,Pisces,3.91388,Capricorn,25.25760,Cancer,18.44484,Pisces,22.36611,Sagittarius,15.42792,Gemini,15.42792
2085-01-12,Sagittarius,27.70001,Cancer,12.00305,Sagittarius,19.74064,Sagittarius,14.83873,Aries,21.97593,Gemini,13.92972,Pisces,3.98594,Capricorn,25.31033,Cancer,18.41905,Pisces,22.37057,Sagittarius,15.37493,Gemini,15.37493
2085-01-13,Sagittarius,28.71841,Cancer,23.81786,Sagittarius,21.32342,Sagittarius,16.09441,Aries,22.28934,Gemini,13.80245,Pisces,4.05940,Capricorn,25.36340,Cancer,18.39303,Pisces,22.37541,Sagittarius,15.32194,Gemini,15.32194
2085-01-14,Sagittarius,29.73674,Leo,5.67660,Sagittarius,22.91386,Sagittarius,17.35011,Aries,22.60981,Gemini,13.67648,Pisces,4.13424,Capricorn,25.41681,Cancer,18.36680,Pisces,22.38063,Sagittarius,15.26895,Gemini,15.26895
2085-01-15,Capricorn,0.75501,Leo,17.62229,Sagittarius,24.51222,Sagittarius,18.60583,Aries,22.93717,Gemini,13.55193,Pisces,4.21045,Capricorn,25.47055,Cancer,18.34037,Pisces,22.38622,Sagittarius,15.21595,Gemini,15.21595
2085-01-16,Capricorn,1.77321,Leo,29.70445,Sagittarius,26.11873,Sagittarius,19.86157,Aries,23.27125,Gemini,13.42887,Pisces,4.28801,Capricorn,25.52460,Cancer,18.31374,Pisces,22.39218,Sagittarius,15.16296,Gemini,15.16296
