date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
2097-01-01,Sagittarius,16.40826,Cancer,26.38753,Scorpio,23.99892,Aquarius,3.07774,Libra,20.79361,Gemini,20.56078,Leo,23.31098,Pisces,10.71561,Leo,15.41366,Aries,4.24589,Aries,23.69423,Libra,23.69423
2097-01-02,Sagittarius,17.42711,Leo,10.27818,Scorpio,25.08272,Aquarius,3.98599,Libra,21.41962,Gemini,20.42591,Leo,23.30222,Pisces,10.73156,Leo,15.40212,Aries,4.24202,Aries,23.64124,Libra,23.64124
2097-01-03,Sagittarius,18.44605,Leo,23.67950,Scorpio,26.21174,Aquarius,4.88329,Libra,22.04545,Gemini,20.29077,Leo,23.29163,Pisces,10.74835,Leo,15.39007,Aries,4.23852,Aries,23.58824,Libra,23.58824
2097-01-04,Sagittarius,19.46507,Virgo,6.61726,Scorpio,27.38094,Aquarius,5.76926,Libra,22.67110,Gemini,20.15547,Leo,23.27921,Pisces,10.76597,Leo,15.37751,Aries,4.23537,Aries,23.53525,Libra,23.53525
2097-01-05,Sagittarius,20.48418,Virgo,19.15106,Scorpio,28.58591,Aquarius,6.64347,Libra,23.29655,Gemini,20.02010,Leo,23.26497,Pisces,10.78442,Leo,15.36444,Aries,4.23260,Aries,23.48226,Libra,23.48226
2097-01-06,Sagittarius,21.50334,Libra,1.36095,Scorpio,29.82282,Aquarius,7.50547,Libra,23.92179,Gemini,19.88478,Leo,23.24891,Pisces,10.80370,Leo,15.35088,Aries,4.23019,Aries,23.42927,Libra,23.42927
2097-01-07,Sagittarius,22.52256,Libra,13.33606,Sagittarius,1.08834,Aquarius,8.35479,Libra,24.54681,Gemini,19.74960,Leo,23.23104,Pisces,10.82380,Leo,15.33682,Aries,4.22815,Aries,23.37628,Libra,23.37628
2097-01-08,Sagittarius,23.54182,Libra,25.16589,Sagittarius,2.37959,Aquarius,9.19092,Libra,25.17159,Gemini,19.61468,Leo,23.21137,Pisces,10.84471,Leo,15.32227,Aries,4.22649,Aries,23.32329,Libra,23.32329
2097-01-09,Sagittarius,24.56110,Scorpio,6.93421,Sagittarius,3.69406,Aquarius,10.01335,Libra,25.79611,Gemini,19.48011,Leo,23.18990,Pisces,10.86643,Leo,15.30723,Aries,4.22519,Aries,23.27029,Libra,23.27029
2097-01-10,Sagittarius,25.58037,Scorpio,18.71473,Sagittarius,5.02960,Aquarius,10.82154,Libra,26.42037,Gemini,19.34601,Leo,23.16664,Pisces,10.88897,Leo,15.29172,Aries,4.22427,Aries,23.21730,Libra,23.21730
