date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
1996-01-01,Sagittarius,16.31285,Aries,26.17054,Capricorn,5.65147,Capricorn,19.15107,Capricorn,0.57826,Sagittarius,5.73619,Aquarius,25.61053,Capricorn,5.56247,Capricorn,0.88540,Scorpio,8.15547,Virgo,28.62094,Pisces,28.62094
1996-01-02,Sagittarius,17.33191,Taurus,8.20093,Capricorn,6.75949,Capricorn,20.38073,Capricorn,1.35829,Sagittarius,5.96251,Aquarius,25.67899,Capricorn,5.61894,Capricorn,0.92239,Scorpio,8.18834,Virgo,28.56795,Pisces,28.56795
1996-01-03,Sagittarius,18.35093,Taurus,20.13874,Capricorn,7.78139,Capricorn,21.60971,Capricorn,2.13883,Sagittarius,6.18854,Aquarius,25.74888,Capricorn,5.67565,Capricorn,0.95950,Scorpio,8.22085,Virgo,28.51496,Pisces,28.51496
1996-01-04,Sagittarius,19.36993,Gemini,2.02723,Capricorn,8.70426,Capricorn,22.83797,Capricorn,2.91986,Sagittarius,6.41424,Aquarius,25.82017,Capricorn,5.73257,Capricorn,0.99673,Scorpio,8.25302,Virgo,28.46197,Pisces,28.46197
1996-01-05,Sagittarius,20.38890,Gemini,13.89868,Capricorn,9.51417,Capricorn,24.06551,Capricorn,3.70137,Sagittarius,6.63960,Aquarius,25.89285,Capricorn,5.78971,Capricorn,1.03406,Scorpio,8.28482,Virgo,28.40897,Pisces,28.40897
1996-01-06,Sagittarius,21.40785,Gemini,25.77727,Capricorn,10.19637,Capricorn,25.29231,Capricorn,4.48337,Sagittarius,6.86460,Aquarius,25.96691,Capricorn,5.84705,Capricorn,1.07149,Scorpio,8.31625,Virgo,28.35598,Pisces,28.35598
1996-01-07,Sagittarius,22.42678,Cancer,7.68320,Capricorn,10.73576,Capricorn,26.51835,Capricorn,5.26584,Sagittarius,7.08922,Aquarius,26.04232,Capricorn,5.90458,Capricorn,1.10901,Scorpio,8.34731,Virgo,28.30299,Pisces,28.30299
1996-01-08,Sagittarius,23.44569,Cancer,19.63737,Capricorn,11.11736,Capricorn,27.74362,Capricorn,6.04877,Sagittarius,7.31344,Aquarius,26.11908,Capricorn,5.96228,Capricorn,1.14660,Scorpio,8.37799,Virgo,28.25000,Pisces,28.25000
1996-01-09,Sagittarius,24.46459,Leo,1.66592,Capricorn,11.32721,Capricorn,28.96811,Capricorn,6.83217,Sagittarius,7.53723,Aquarius,26.19716,Capricorn,6.02014,Capricorn,1.18428,Scorpio,8.40828,Virgo,28.19701,Pisces,28.19701
1996-01-10,Sagittarius,25.48348,Leo,13.80395,Capricorn,11.35328,Aquarius,0.19179,Capricorn,7.61602,Sagittarius,7.76058,Aquarius,26.27655,Capricorn,6.07816,Capricorn,1.22201,Scorpio,8.43818,Virgo,28.14401,Pisces,28.14401
1996-01-11,Sagittarius,26.50236,Leo,26.09774,Capricorn,11.18672,Aquarius,1.41466,Capricorn,8.40031,Sagittarius,7.98346,Aquarius,26.35724,Capricorn,6.13632,Capricorn,1.25981,Scorpio,8.46767,Virgo,28.09102,Pisces,28.09102
1996-01-12,Sagittarius,27.52123,Virgo,8.60483,Capricorn,10.82317,Aquarius,2.63670,Capricorn,9.18504,Sagittarius,8.20585,Aquarius,26.43920,Capricorn,6.19460,Capricorn,1.29765,Scorpio,8.49675,Virgo,28.03803,Pisces,28.03803
1996-01-13,Sagittarius,28.54008,Virgo,21.39155,Capricorn,10.26407,Aquarius,3.85789,Capricorn,9.97021,Sagittarius,8.42773,Aquarius,26.52243,Capricorn,6.25301,Capricorn,1.33554,Scorpio,8.52542,Virgo,27.98504,Pisces,27.98504
1996-01-14,Sagittarius,29.55892,Libra,4.52719,Capricorn,9.51784,Aquarius,5.07822,Capricorn,10.75579,Sagittarius,8.64907,Aquarius,26.60690,Capricorn,6.31152,Capricorn,1.37346,Scorpio,8.55366,Virgo,27.93205,Pisces,27.93205
1996-01-15,Capricorn,0.57773,Libra,18.07438,Capricorn,8.60059,Aquarius,6.29767,Capricorn,11.54178,Sagittarius,8.86986,Aquarius,26.69261,Capricorn,6.37012,Capricorn,1.41144,Scorpio,8.58147,Virgo,27.87905,Pisces,27.87905
1996-01-16,Capricorn,1.59650,Scorpio,2.07536,Capricorn,7.53623,Aquarius,7.51622,Capricorn,12.32818,Sagittarius,9.09006,Aquarius,26.77952,Capricorn,6.42881,Capricorn,1.44919,Scorpio,8.60884,Virgo,27.82606,Pisces,27.82606
1996-01-17,Capricorn,2.61523,Scorpio,16.53535,Capricorn,6.35581,Aquarius,8.73385,Capricorn,13.11495,Sagittarius,9.30965,Aquarius,26.86764,Capricorn,6.48757,Capricorn,1.48711,Scorpio,8.63577,Virgo,27.77307,Pisces,27.77307
1996-01-18,Capricorn,3.63388,Sagittarius,1.40676,Capricorn,5.09593,Aquarius,9.95054,Capricorn,13.90210,Sagittarius,9.52861,Aquarius,26.95693,Capricorn,6.54638,Capricorn,1.52508,Scorpio,8.66225,Virgo,27.72008,Pisces,27.72008
1996-01-19,Capricorn,4.65243,Sagittarius,16.58091,Capricorn,3.79649,Aquarius,11.16624,Capricorn,14.68959,Sagittarius,9.74689,Aquarius,27.04739,Capricorn,6.60525,Capricorn,1.56301,Scorpio,8.68826,Virgo,27.66708,Pisces,27.66708
1996-01-20,Capricorn,5.67085,Capricorn,1.89468,Capricorn,2.49806,Aquarius,12.38093,Capricorn,15.47741,Sagittarius,9.96449,Aquarius,27.13899,Capricorn,6.66416,Capricorn,1.60092,Scorpio,8.71381,Virgo,27.61409,Pisces,27.61409
1996-01-21,Capricorn,6.68911,Capricorn,17.15482,Capricorn,1.23920,Aquarius,13.59456,Capricorn,16.26554,Sagittarius,10.18136,Aquarius,27.23171,Capricorn,6.72296,Capricorn,1.63878,Scorpio,8.73889,Virgo,27.56110,Pisces,27.56110
1996-01-22,Capricorn,7.70716,Aquarius,2.17383,Capricorn,0.05417,Aquarius,14.80709,Capricorn,17.05394,Sagittarius,10.39748,Aquarius,27.32553,Capricorn,6.78174,Capricorn,1.67660,Scorpio,8.76348,Virgo,27.50811,Pisces,27.50811
1996-01-23,Capricorn,8.72499,Aquarius,16.80382,Sagittarius,28.97134,Aquarius,16.01846,Capricorn,17.84260,Sagittarius,10.61283,Aquarius,27.42044,Capricorn,6.84065,Capricorn,1.71436,Scorpio,8.78759,Virgo,27.45512,Pisces,27.45512
1996-01-24,Capricorn,9.74256,Pisces,0.95646,Sagittarius,28.01236,Aquarius,17.22863,Capricorn,18.63150,Sagittarius,10.82737,Aquarius,27.51640,Capricorn,6.89952,Capricorn,1.75206,Scorpio,8.81121,Virgo,27.40212,Pisces,27.40212
1996-01-25,Capricorn,10.75985,Pisces,14.60524,Sagittarius,27.19216,Aquarius,18.43755,Capricorn,19.42060,Sagittarius,11.04109,Aquarius,27.61340,Capricorn,6.95833,Capricorn,1.78968,Scorpio,8.83434,Virgo,27.34913,Pisces,27.34913
1996-01-26,Capricorn,11.77685,Pisces,27.77481,Sagittarius,26.51939,Aquarius,19.64516,Capricorn,20.20991,Sagittarius,11.25395,Aquarius,27.71141,Capricorn,7.01709,Capricorn,1.82722,Scorpio,8.85696,Virgo,27.29614,Pisces,27.29614
1996-01-27,Capricorn,12.79353,Aries,10.52478,Sagittarius,25.99736,Aquarius,20.85144,Capricorn,20.99939,Sagittarius,11.46593,Aquarius,27.81042,Capricorn,7.07578,Capricorn,1.86467,Scorpio,8.87907,Virgo,27.24315,Pisces,27.24315
1996-01-28,Capricorn,13.80989,Aries,22.93392,Sagittarius,25.62511,Aquarius,22.05632,Capricorn,21.78904,Sagittarius,11.67702,Aquarius,27.91041,Capricorn,7.13439,Capricorn,1.90202,Scorpio,8.90068,Virgo,27.19016,Pisces,27.19016
1996-01-29,Capricorn,14.82593,Taurus,5.08750,Sagittarius,25.39841,Aquarius,23.25977,Capricorn,22.57884,Sagittarius,11.88718,Aquarius,28.01134,Capricorn,7.19291,Capricorn,1.93926,Scorpio,8.92177,Virgo,27.13716,Pisces,27.13716
1996-01-30,Capricorn,15.84164,Taurus,17.06826,Sagittarius,25.31081,Aquarius,24.46174,Capricorn,23.36878,Sagittarius,12.09640,Aquarius,28.11322,Capricorn,7.25133,Capricorn,1.97638,Scorpio,8.94234,Virgo,27.08417,Pisces,27.08417
1996-01-31,Capricorn,16.85702,Taurus,28.95067,Sagittarius,25.35440,Aquarius,25.66221,Capricorn,24.15885,Sagittarius,12.30465,Aquarius,28.21600,Capricorn,7.30963,Capricorn,2.01338,Scorpio,8.96239,Virgo,27.03118,Pisces,27.03118
1996-02-01,Capricorn,17.87207,Gemini,10.79754,Sagittarius,25.52049,Aquarius,26.86113,Capricorn,24.94904,Sagittarius,12.51192,Aquarius,28.31968,Capricorn,7.36781,Capricorn,2.05024,Scorpio,8.98191,Virgo,26.97819,Pisces,26.97819
1996-02-02,Capricorn,18.88678,Gemini,22.65871,Sagittarius,25.80013,Aquarius,28.05845,Capricorn,25.73934,Sagittarius,12.71817,Aquarius,28.42424,Capricorn,7.42584,Capricorn,2.08696,Scorpio,9.00090,Virgo,26.92520,Pisces,26.92520
1996-02-03,Capricorn,19.90117,Cancer,4.57143,Sagittarius,26.18439,Aquarius,29.25416,Capricorn,26.52973,Sagittarius,12.92339,Aquarius,28.52965,Capricorn,7.48373,Capricorn,2.12353,Scorpio,9.01935,Virgo,26.87220,Pisces,26.87220
1996-02-04,Capricorn,20.91523,Cancer,16.56232,Sagittarius,26.66470,Pisces,0.44820,Capricorn,27.32022,Sagittarius,13.12756,Aquarius,28.63590,Capricorn,7.54146,Capricorn,2.15995,Scorpio,9.03727,Virgo,26.81921,Pisces,26.81921
1996-02-05,Capricorn,21.92898,Cancer,28.65065,Sagittarius,27.23292,Pisces,1.64055,Capricorn,28.11079,Sagittarius,13.33064,Aquarius,28.74297,Capricorn,7.59901,Capricorn,2.19620,Scorpio,9.05465,Virgo,26.76622,Pisces,26.76622
1996-02-06,Capricorn,22.94241,Leo,10.85263,Sagittarius,27.88149,Pisces,2.83117,Capricorn,28.90144,Sagittarius,13.53262,Aquarius,28.85084,Capricorn,7.65638,Capricorn,2.23227,Scorpio,9.07148,Virgo,26.71323,Pisces,26.71323
1996-02-07,Capricorn,23.95553,Leo,23.18591,Sagittarius,28.60344,Pisces,4.02002,Capricorn,29.69216,Sagittarius,13.73348,Aquarius,28.95949,Capricorn,7.71356,Capricorn,2.26816,Scorpio,9.08776,Virgo,26.66024,Pisces,26.66024
1996-02-08,Capricorn,24.96835,Virgo,5.67366,Sagittarius,29.39242,Pisces,5.20708,Aquarius,0.48293,Sagittarius,13.93319,Aquarius,29.06891,Capricorn,7.77053,Capricorn,2.30387,Scorpio,9.10349,Virgo,26.60724,Pisces,26.60724
1996-02-09,Capricorn,25.98088,Virgo,18.34704,Capricorn,0.24265,Pisces,6.39232,Aquarius,1.27377,Sagittarius,14.13173,Aquarius,29.17907,Capricorn,7.82728,Capricorn,2.33938,Scorpio,9.11866,Virgo,26.55425,Pisces,26.55425
1996-02-10,Capricorn,26.99311,Libra,1.24562,Capricorn,1.14893,Pisces,7.57569,Aquarius,2.06465,Sagittarius,14.32907,Aquarius,29.28997,Capricorn,7.88380,Capricorn,2.37468,Scorpio,9.13327,Virgo,26.50126,Pisces,26.50126
1996-02-11,Capricorn,28.00505,Libra,14.41471,Capricorn,2.10659,Pisces,8.75717,Aquarius,2.85556,Sagittarius,14.52518,Aquarius,29.40157,Capricorn,7.94008,Capricorn,2.40977,Scorpio,9.14732,Virgo,26.44827,Pisces,26.44827
1996-02-12,Capricorn,29.01670,Libra,27.89933,Capricorn,3.11144,Pisces,9.93673,Aquarius,3.64651,Sagittarius,14.72004,Aquarius,29.51387,Capricorn,7.99611,Capricorn,2.44464,Scorpio,9.16081,Virgo,26.39528,Pisces,26.39528
1996-02-13,Aquarius,0.02806,Scorpio,11.73464,Capricorn,4.15974,Pisces,11.11433,Aquarius,4.43747,Sagittarius,14.91362,Aquarius,29.62684,Capricorn,8.05188,Capricorn,2.47928,Scorpio,9.17372,Virgo,26.34228,Pisces,26.34228
1996-02-14,Aquarius,1.03911,Scorpio,25.93351,Capricorn,5.24816,Pisces,12.28994,Aquarius,5.22844,Sagittarius,15.10590,Aquarius,29.74047,Capricorn,8.10737,Capricorn,2.51368,Scorpio,9.18607,Virgo,26.28929,Pisces,26.28929
1996-02-15,Aquarius,2.04986,Sagittarius,10.47354,Capricorn,6.37374,Pisces,13.46351,Aquarius,6.01940,Sagittarius,15.29684,Aquarius,29.85474,Capricorn,8.16257,Capricorn,2.54783,Scorpio,9.19783,Virgo,26.23630,Pisces,26.23630
1996-02-16,Aquarius,3.06027,Sagittarius,25.28759,Capricorn,7.53385,Pisces,14.63499,Aquarius,6.81033,Sagittarius,15.48641,Aquarius,29.96963,Capricorn,8.21746,Capricorn,2.58173,Scorpio,9.20902,Virgo,26.18331,Pisces,26.18331
