date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
1844-01-01,Sagittarius,18.32783,Aries,27.96572,Capricorn,2.38597,Capricorn,10.50046,Aquarius,22.47029,Aquarius,4.99033,Capricorn,4.39692,Pisces,6.91388,Capricorn,28.05390,Pisces,29.27568,Sagittarius,0.58274,Gemini,0.58274
1844-01-02,Sagittarius,19.34698,Taurus,9.93644,Capricorn,3.96356,Capricorn,11.74844,Aquarius,23.20775,Aquarius,5.19227,Capricorn,4.51272,Pisces,6.93462,Capricorn,28.08490,Pisces,29.27434,Sagittarius,0.52974,Gemini,0.52974
1844-01-03,Sagittarius,20.36607,Taurus,22.06909,Capricorn,5.52888,Capricorn,12.99609,Aquarius,23.94502,Aquarius,5.39560,Capricorn,4.62885,Pisces,6.95618,Capricorn,28.11624,Pisces,29.27339,Sagittarius,0.47675,Gemini,0.47675
1844-01-04,Sagittarius,21.38511,Gemini,4.40878,Capricorn,7.07852,Capricorn,14.24343,Aquarius,24.68210,Aquarius,5.60030,Capricorn,4.74529,Pisces,6.97853,Capricorn,28.14790,Pisces,29.27281,Sagittarius,0.42376,Gemini,0.42376
1844-01-05,Sagittarius,22.40410,Gemini,16.98574,Capricorn,8.60850,Capricorn,15.49045,Aquarius,25.41896,Aquarius,5.80633,Capricorn,4.86201,Pisces,7.00168,Capricorn,28.17988,Pisces,29.27260,Sagittarius,0.37077,Gemini,0.37077
1844-01-06,Sagittarius,23.42304,Gemini,29.81456,Capricorn,10.11414,Capricorn,16.73714,Aquarius,26.15560,Aquarius,6.01369,Capricorn,4.97900,Pisces,7.02562,Capricorn,28.21217,Pisces,29.27277,Sagittarius,0.31778,Gemini,0.31778
1844-01-07,Sagittarius,24.44194,Cancer,12.89472,Capricorn,11.58998,Capricorn,17.98349,Aquarius,26.89201,Aquarius,6.22234,Capricorn,5.09624,Pisces,7.05034,Capricorn,28.24476,Pisces,29.27332,Sagittarius,0.26478,Gemini,0.26478
1844-01-08,Sagittarius,25.46081,Cancer,26.21272,Capricorn,13.02970,Capricorn,19.22952,Aquarius,27.62818,Aquarius,6.43225,Capricorn,5.21371,Pisces,7.07584,Capricorn,28.27765,Pisces,29.27424,Sagittarius,0.21179,Gemini,0.21179
1844-01-09,Sagittarius,26.47965,Leo,9.74559,Capricorn,14.42602,Capricorn,20.47521,Aquarius,28.36411,Aquarius,6.64340,Capricorn,5.33140,Pisces,7.10211,Capricorn,28.31083,Pisces,29.27554,Sagittarius,0.15880,Gemini,0.15880
1844-01-10,Sagittarius,27.49847,Leo,23.46517,Capricorn,15.77061,Capricorn,21.72056,Aquarius,29.09979,Aquarius,6.85577,Capricorn,5.44928,Pisces,7.12915,Capricorn,28.34429,Pisces,29.27721,Sagittarius,0.10581,Gemini,0.10581
