date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
1875-01-01,Sagittarius,18.38265,Libra,6.35577,Sagittarius,9.99626,Scorpio,17.39635,Libra,13.85021,Libra,6.52622,Capricorn,20.49242,Cancer,22.41146,Aries,5.91549,Aries,28.82802,Aries,0.55267,Libra,0.55267
1875-01-02,Sagittarius,19.40213,Libra,18.13678,Sagittarius,11.55865,Scorpio,17.52332,Libra,14.44289,Libra,6.65169,Capricorn,20.60053,Cancer,22.37736,Aries,5.91156,Aries,28.81679,Aries,0.49968,Libra,0.49968
1875-01-03,Sagittarius,20.42166,Libra,29.98497,Sagittarius,13.12690,Scorpio,17.68831,Libra,15.03482,Libra,6.77489,Capricorn,20.70932,Cancer,22.34268,Aries,5.90822,Aries,28.80585,Aries,0.44668,Libra,0.44668
1875-01-04,Sagittarius,21.44123,Scorpio,11.97332,Sagittarius,14.70120,Scorpio,17.89034,Libra,15.62598,Libra,6.89581,Capricorn,20.81878,Cancer,22.30742,Aries,5.90545,Aries,28.79521,Aries,0.39369,Libra,0.39369
1875-01-05,Sagittarius,22.46082,Scorpio,24.15890,Sagittarius,16.28176,Scorpio,18.12836,Libra,16.21636,Libra,7.01439,Capricorn,20.92888,Cancer,22.27162,Aries,5.90325,Aries,28.78487,Aries,0.34070,Libra,0.34070
1875-01-06,Sagittarius,23.48040,Sagittarius,6.57973,Sagittarius,17.86880,Scorpio,18.40128,Libra,16.80592,Libra,7.13062,Capricorn,21.03960,Cancer,22.23527,Aries,5.90164,Aries,28.77484,Aries,0.28771,Libra,0.28771
1875-01-07,Sagittarius,24.49996,Sagittarius,19.25314,Sagittarius,19.46256,Scorpio,18.70800,Libra,17.39465,Libra,7.24445,Capricorn,21.15092,Cancer,22.19841,Aries,5.90062,Aries,28.76512,Aries,0.23471,Libra,0.23471
1875-01-08,Sagittarius,25.51947,Capricorn,2.17648,Sagittarius,21.06327,Scorpio,19.04740,Libra,17.98252,Libra,7.35587,Capricorn,21.26283,Cancer,22.16104,Aries,5.90017,Aries,28.75571,Aries,0.18172,Libra,0.18172
1875-01-09,Sagittarius,26.53890,Capricorn,15.33067,Sagittarius,22.67118,Scorpio,19.41836,Libra,18.56951,Libra,7.46483,Capricorn,21.37530,Cancer,22.12319,Aries,5.90031,Aries,28.74662,Aries,0.12873,Libra,0.12873
1875-01-10,Sagittarius,27.55822,Capricorn,28.68653,Sagittarius,24.28652,Scorpio,19.81977,Libra,19.15560,Libra,7.57132,Capricorn,21.48831,Cancer,22.08487,Aries,5.90104,Aries,28.73785,Aries,0.07574,Libra,0.07574
1875-01-11,Sagittarius,28.57740,Aquarius,12.21240,Sagittarius,25.90954,Scorpio,20.25055,Libra,19.74077,Libra,7.67530,Capricorn,21.60183,Cancer,22.04610,Aries,5.90235,Aries,28.72941,Aries,0.02275,Libra,0.02275
1875-01-12,Sagittarius,29.59642,Aquarius,25.88138,Sagittarius,27.54046,Scorpio,20.70961,Libra,20.32502,Libra,7.77674,Capricorn,21.71585,Cancer,22.00690,Aries,5.90425,Aries,28.72130,Pisces,29.96975,Virgo,29.96975
1875-01-13,Capricorn,0.61526,Pisces,9.67575,Sagittarius,29.17949,Scorpio,21.19593,Libra,20.90831,Libra,7.87562,Capricorn,21.83035,Cancer,21.96730,Aries,5.90674,Aries,28.71351,Pisces,29.91676,Virgo,29.91676
1875-01-14,Capricorn,1.63390,Pisces,23.58729,Capricorn,0.82685,Scorpio,21.70850,Libra,21.49066,Libra,7.97192,Capricorn,21.94530,Cancer,21.92730,Aries,5.90981,Aries,28.70606,Pisces,29.86377,Virgo,29.86377
1875-01-15,Capricorn,2.65231,Aries,7.61316,Capricorn,2.48271,Scorpio,22.24636,Libra,22.07204,Libra,8.06561,Capricorn,22.06069,Cancer,21.88693,Aries,5.91347,Aries,28.69895,Pisces,29.81078,Virgo,29.81078
1875-01-16,Capricorn,3.67049,Aries,21.74822,Capricorn,4.14723,Scorpio,22.80855,Libra,22.65245,Libra,8.15666,Capricorn,22.17649,Cancer,21.84621,Aries,5.91771,Aries,28.69218,Pisces,29.75779,Virgo,29.75779
1875-01-17,Capricorn,4.68843,Taurus,5.97590,Capricorn,5.82050,Scorpio,23.39419,Libra,23.23189,Libra,8.24507,Capricorn,22.29268,Cancer,21.80515,Aries,5.92253,Aries,28.68575,Pisces,29.70479,Virgo,29.70479
1875-01-18,Capricorn,5.70613,Taurus,20.26024,Capricorn,7.50262,Scorpio,24.00242,Libra,23.81034,Libra,8.33079,Capricorn,22.40925,Cancer,21.76378,Aries,5.92793,Aries,28.67966,Pisces,29.65180,Virgo,29.65180
1875-01-19,Capricorn,6.72359,Gemini,4.54234,Capricorn,9.19358,Scorpio,24.63238,Libra,24.38781,Libra,8.41382,Capricorn,22.52617,Cancer,21.72211,Aries,5.93392,Aries,28.67391,Pisces,29.59881,Virgo,29.59881
1875-01-20,Capricorn,7.74082,Gemini,18.74336,Capricorn,10.89334,Scorpio,25.28327,Libra,24.96428,Libra,8.49413,Capricorn,22.64343,Cancer,21.68016,Aries,5.94048,Aries,28.66851,Pisces,29.54582,Virgo,29.54582
1875-01-21,Capricorn,8.75783,Cancer,2.77452,Capricorn,12.60176,Scorpio,25.95431,Libra,25.53974,Libra,8.57170,Capricorn,22.76101,Cancer,21.63795,Aries,5.94761,Aries,28.66346,Pisces,29.49283,Virgo,29.49283
1875-01-22,Capricorn,9.77463,Cancer,16.55143,Capricorn,14.31861,Scorpio,26.64473,Libra,26.11418,Libra,8.64650,Capricorn,22.87889,Cancer,21.59550,Aries,5.95532,Aries,28.65876,Pisces,29.43983,Virgo,29.43983
1875-01-23,Capricorn,10.79122,Leo,0.00865,Capricorn,16.04351,Scorpio,27.35379,Libra,26.68758,Libra,8.71851,Capricorn,22.99705,Cancer,21.55282,Aries,5.96360,Aries,28.65440,Pisces,29.38684,Virgo,29.38684
1875-01-24,Capricorn,11.80761,Leo,13.10994,Capricorn,17.77595,Scorpio,28.08076,Libra,27.25993,Libra,8.78770,Capricorn,23.11549,Cancer,21.50994,Aries,5.97246,Aries,28.65040,Pisces,29.33385,Virgo,29.33385
1875-01-25,Capricorn,12.82382,Leo,25.85247,Capricorn,19.51526,Scorpio,28.82493,Libra,27.83119,Libra,8.85404,Capricorn,23.23417,Cancer,21.46687,Aries,5.98188,Aries,28.64676,Pisces,29.28086,Virgo,29.28086
1875-01-26,Capricorn,13.83983,Virgo,8.26507,Capricorn,21.26054,Scorpio,29.58562,Libra,28.40134,Libra,8.91752,Capricorn,23.35308,Cancer,21.42363,Aries,5.99187,Aries,28.64347,Pisces,29.22786,Virgo,29.22786
1875-01-27,Capricorn,14.85566,Virgo,20.40280,Capricorn,23.01065,Sagittarius,0.36216,Libra,28.97035,Libra,8.97811,Capricorn,23.47221,Cancer,21.38024,Aries,6.00242,Aries,28.64054,Pisces,29.17487,Virgo,29.17487
1875-01-28,Capricorn,15.87129,Libra,2.33999,Capricorn,24.76417,Sagittarius,1.15391,Libra,29.53818,Libra,9.03578,Capricorn,23.59154,Cancer,21.33672,Aries,6.01354,Aries,28.63797,Pisces,29.12188,Virgo,29.12188
1875-01-29,Capricorn,16.88672,Libra,14.16313,Capricorn,26.51936,Sagittarius,1.96026,Scorpio,0.10482,Libra,9.09051,Capricorn,23.71104,Cancer,21.29309,Aries,6.02522,Aries,28.63575,Pisces,29.06889,Virgo,29.06889
1875-01-30,Capricorn,17.90195,Libra,25.96449,Capricorn,28.27408,Sagittarius,2.78060,Scorpio,0.67022,Libra,9.14228,Capricorn,23.83069,Cancer,21.24937,Aries,6.03746,Aries,28.63390,Pisces,29.01590,Virgo,29.01590
1875-01-31,Capricorn,18.91696,Scorpio,7.83622,Aquarius,0.02575,Sagittarius,3.61437,Scorpio,1.23435,Libra,9.19106,Capricorn,23.95049,Cancer,21.20557,Aries,6.05026,Aries,28.63242,Pisces,28.96290,Virgo,28.96290
1875-02-01,Capricorn,19.93174,Scorpio,19.86468,Aquarius,1.77129,Sagittarius,4.46101,Scorpio,1.79717,Libra,9.23684,Capricorn,24.07041,Cancer,21.16173,Aries,6.06361,Aries,28.63129,Pisces,28.90991,Virgo,28.90991
1875-02-02,Capricorn,20.94629,Sagittarius,2.12467,Aquarius,3.50703,Sagittarius,5.32000,Scorpio,2.35865,Libra,9.27958,Capricorn,24.19043,Cancer,21.11785,Aries,6.07751,Aries,28.63053,Pisces,28.85692,Virgo,28.85692
1875-02-03,Capricorn,21.96057,Sagittarius,14.67342,Aquarius,5.22867,Sagittarius,6.19081,Scorpio,2.91875,Libra,9.31928,Capricorn,24.31053,Cancer,21.07397,Aries,6.09196,Aries,28.63014,Pisces,28.80393,Virgo,28.80393
1875-02-04,Capricorn,22.97458,Sagittarius,27.54494,Aquarius,6.93119,Sagittarius,7.07298,Scorpio,3.47744,Libra,9.35591,Capricorn,24.43069,Cancer,21.03009,Aries,6.10696,Aries,28.63011,Pisces,28.75094,Virgo,28.75094
1875-02-05,Capricorn,23.98829,Capricorn,10.74595,Aquarius,8.60877,Sagittarius,7.96602,Scorpio,4.03466,Libra,9.38945,Capricorn,24.55088,Cancer,20.98625,Aries,6.12250,Aries,28.63045,Pisces,28.69794,Virgo,28.69794
1875-02-06,Capricorn,25.00167,Capricorn,24.25490,Aquarius,10.25478,Sagittarius,8.86949,Scorpio,4.59039,Libra,9.41990,Capricorn,24.67098,Cancer,20.94245,Aries,6.13857,Aries,28.63116,Pisces,28.64495,Virgo,28.64495
1875-02-07,Capricorn,26.01471,Aquarius,8.02547,Aquarius,11.86167,Sagittarius,9.78297,Scorpio,5.14459,Libra,9.44724,Capricorn,24.79116,Cancer,20.89874,Aries,6.15518,Aries,28.63223,Pisces,28.59196,Virgo,28.59196
