date,SunSign,SunDegrees,MoonSign,MoonDegrees,MercurySign,MercuryDegrees,VenusSign,VenusDegrees,MarsSign,MarsDegrees,JupiterSign,JupiterDegrees,SaturnSign,SaturnDegrees,UranusSign,UranusDegrees,NeptuneSign,NeptuneDegrees,PlutoSign,PlutoDegrees,RahuSign,RahuDegrees,KetuSign,KetuDegrees
1854-01-01,Sagittarius,18.77755,Capricorn,17.02578,Scorpio,28.07072,Aquarius,5.33761,Leo,24.01875,Sagittarius,15.13056,Taurus,3.63325,Aries,16.86321,Aquarius,19.57064,Aries,9.00046,Taurus,17.00239,Scorpio,17.00239
1854-01-02,Sagittarius,19.79733,Aquarius,1.57533,Scorpio,29.39595,Aquarius,6.23640,Leo,24.19960,Sagittarius,15.36156,Taurus,3.58919,Aries,16.85034,Aquarius,19.59283,Aries,8.99573,Taurus,16.94940,Scorpio,16.94940
1854-01-03,Sagittarius,20.81703,Aquarius,15.67674,Sagittarius,0.74163,Aquarius,7.12383,Leo,24.37064,Sagittarius,15.59245,Taurus,3.54677,Aries,16.83831,Aquarius,19.61549,Aries,8.99136,Taurus,16.89640,Scorpio,16.89640
1854-01-04,Sagittarius,21.83664,Aquarius,29.29600,Sagittarius,2.10584,Aquarius,7.99941,Leo,24.53173,Sagittarius,15.82320,Taurus,3.50602,Aries,16.82713,Aquarius,19.63863,Aries,8.98735,Taurus,16.84341,Scorpio,16.84341
1854-01-05,Sagittarius,22.85613,Pisces,12.44593,Sagittarius,3.48694,Aquarius,8.86264,Leo,24.68268,Sagittarius,16.05380,Taurus,3.46696,Aries,16.81678,Aquarius,19.66224,Aries,8.98370,Taurus,16.79042,Scorpio,16.79042
1854-01-06,Sagittarius,23.87550,Pisces,25.17462,Sagittarius,4.88353,Aquarius,9.71301,Leo,24.82333,Sagittarius,16.28422,Taurus,3.42961,Aries,16.80729,Aquarius,19.68630,Aries,8.98042,Taurus,16.73743,Scorpio,16.73743
1854-01-07,Sagittarius,24.89474,Aries,7.55237,Sagittarius,6.29441,Aquarius,10.54996,Leo,24.95352,Sagittarius,16.51443,Taurus,3.39397,Aries,16.79864,Aquarius,19.71082,Aries,8.97750,Taurus,16.68443,Scorpio,16.68443
1854-01-08,Sagittarius,25.91383,Aries,19.66015,Sagittarius,7.71859,Aquarius,11.37295,Leo,25.07306,Sagittarius,16.74442,Taurus,3.36008,Aries,16.79085,Aquarius,19.73578,Aries,8.97495,Taurus,16.63144,Scorpio,16.63144
1854-01-09,Sagittarius,26.93278,Taurus,1.58078,Sagittarius,9.15523,Aquarius,12.18140,Leo,25.18179,Sagittarius,16.97417,Taurus,3.32793,Aries,16.78393,Aquarius,19.76118,Aries,8.97277,Taurus,16.57845,Scorpio,16.57845
1854-01-10,Sagittarius,27.95157,Taurus,13.39268,Sagittarius,10.60362,Aquarius,12.97472,Leo,25.27953,Sagittarius,17.20365,Taurus,3.29756,Aries,16.77786,Aquarius,19.78701,Aries,8.97095,Taurus,16.52546,Scorpio,16.52546
1854-01-11,Sagittarius,28.97022,Taurus,25.16590,Sagittarius,12.06320,Aquarius,13.75229,Leo,25.36610,Sagittarius,17.43285,Taurus,3.26896,Aries,16.77265,Aquarius,19.81327,Aries,8.96950,Taurus,16.47247,Scorpio,16.47247
1854-01-12,Sagittarius,29.98872,Gemini,6.95986,Sagittarius,13.53349,Aquarius,14.51348,Leo,25.44133,Sagittarius,17.66173,Taurus,3.24215,Aries,16.76831,Aquarius,19.83995,Aries,8.96842,Taurus,16.41947,Scorpio,16.41947
1854-01-13,Capricorn,1.00707,Gemini,18.82239,Sagittarius,15.01415,Aquarius,15.25763,Leo,25.50503,Sagittarius,17.89029,Taurus,3.21715,Aries,16.76484,Aquarius,19.86705,Aries,8.96771,Taurus,16.36648,Scorpio,16.36648
1854-01-14,Capricorn,2.02528,Cancer,0.79007,Sagittarius,16.50488,Aquarius,15.98405,Leo,25.55704,Sagittarius,18.11851,Taurus,3.19395,Aries,16.76224,Aquarius,19.89455,Aries,8.96737,Taurus,16.31349,Scorpio,16.31349
1854-01-15,Capricorn,3.04334,Cancer,12.88980,Sagittarius,18.00548,Aquarius,16.69204,Leo,25.59717,Sagittarius,18.34635,Taurus,3.17258,Aries,16.76051,Aquarius,19.92244,Aries,8.96739,Taurus,16.26050,Scorpio,16.26050
1854-01-16,Capricorn,4.06127,Cancer,25.14134,Sagittarius,19.51582,Aquarius,17.38088,Leo,25.62526,Sagittarius,18.57381,Taurus,3.15304,Aries,16.75965,Aquarius,19.95074,Aries,8.96779,Taurus,16.20751,Scorpio,16.20751
